,fov,size,loss,accuracy
0,30,high,5.0032922911000215,0.02344860255802937
1,30,high,5.036949784311848,0.016106110847939364
2,30,high,5.0792128875999865,0.015632401705352912
3,30,high,5.006257144832205,0.016816674561819043
4,30,high,4.907088772147145,0.024869729998141653
5,30,high,4.975313541280438,0.018474656560871626
6,30,high,5.344934887029954,0.022501184297562322
7,30,high,4.890185384827166,0.02771198484130744
8,30,low,5.341549558246491,0.11274277594616378
9,30,low,4.407068354436313,0.10445286595090088
10,30,low,5.07540429683163,0.11037423023323152
11,30,low,4.4504371090332855,0.08976788252719145
12,30,low,4.541444215205313,0.08976788256954435
13,30,low,4.582111813230347,0.09142586454036167
14,30,low,4.461005129671842,0.11274277600616373
15,30,low,4.648942658371521,0.10990052117888027
16,40,high,4.704724203179313,0.05637138798014071
17,40,high,4.953089834219582,0.07437233541077881
18,40,high,4.850922700862984,0.03315963998105163
19,40,high,5.050182124101285,0.06750355282915763
20,40,high,4.788784255466434,0.056134533408847484
21,40,high,4.853013227246826,0.06418758883281717
22,40,high,4.779679545064155,0.04831833255440632
23,40,high,4.964642066404414,0.09261013742506306
24,40,low,4.0060923719564245,0.19114163911833915
25,40,low,4.823669535466586,0.14092846993005767
26,40,low,4.4406818965214345,0.1608242539786886
27,40,low,3.844163758898165,0.1707721459024159
28,40,low,3.872031584106763,0.19279962103974474
29,40,low,4.88973954569836,0.164140218005029
30,40,low,4.901067029577135,0.17503552827039978
31,40,low,4.653870397131345,0.16556134536925904
32,50,high,4.714129866496583,0.18072003790731964
33,50,high,4.0579913027305725,0.1598768356582216
34,50,high,4.7941061858597775,0.1456655614441574
35,50,high,4.669877189643459,0.12434864996423771
36,50,high,4.466325977186296,0.12126954053742577
37,50,high,4.558728042794087,0.13405968738725998
38,50,high,4.66091139358347,0.15987683564410396
39,50,high,4.793316205041434,0.12813832311904697
40,50,low,4.221459607725627,0.1982472762430183
41,50,low,3.930139077889981,0.21695878732577142
42,50,low,3.8791593336370083,0.2136428233911956
43,50,low,3.3980161515754976,0.2408810990899166
44,50,low,4.151293878248098,0.20630033159639982
45,50,low,4.079926448995499,0.19185220278986592
46,50,low,4.245696195772281,0.18995736627599064
47,50,low,4.053327545742467,0.18095689248920108
48,60,high,3.895168316415112,0.1897205116129328
49,60,high,3.868515454892692,0.19540502133808788
50,60,high,3.653149589324438,0.25130270014917155
51,60,high,4.53806821501464,0.20701089533145595
52,60,high,3.928027802990941,0.19303647570280258
53,60,high,4.186113032160749,0.23969682618403876
54,60,high,3.969894709602909,0.21198484134273132
55,60,high,3.93842240274376,0.21387967796248883
56,60,low,4.082302076338818,0.21009000474767964
57,60,low,3.746741434455991,0.23377546187700224
58,60,low,4.143199686075714,0.2378019896772223
59,60,low,4.35947466269312,0.2311700616527767
60,60,low,4.322332012658998,0.19919469442936777
61,60,low,3.848495288462167,0.20653718626651646
62,60,low,3.982370971560422,0.21861676933894164
63,60,low,4.1911595733964235,0.2233538608283355
64,70,high,3.7903209651945216,0.2671719564258177
65,70,high,4.119835966743603,0.2349597347440566
66,70,high,4.102983730204125,0.22974893422501735
67,70,high,3.550099930792609,0.24467077215296124
68,70,high,3.832602786769352,0.23851255329933735
69,70,high,3.8386191382107717,0.2285646613191395
70,70,high,3.345830870149035,0.29630506875841384
71,70,high,4.0659254574199695,0.27404073908508586
72,70,low,4.1183305195528765,0.15940312651563515
73,70,low,4.144479644179965,0.1676930365320745
74,70,low,3.9572793598256366,0.18119374704637667
75,70,low,3.957726979470264,0.18450971110801118
76,70,low,4.252597712386224,0.18948365704163958
77,70,low,4.223988772229186,0.1852202747583615
78,70,low,4.356077980509531,0.1849834202788329
79,70,low,4.192915164255407,0.17977261963273494
